Compound_ID	name	input_mz	match_form	mz_difference	in_pathways	evidence_score	MW	all_possibles
CE7115	20-hydroxy-leukotriene B5	304.2013	M-HCOOH+H[1+]	-0.0021	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	372.1904	M+Na[1+]	-0.0004	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2028	M(Cl37)+H[1+]	-0.0032	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	304.2014	M-HCOOH+H[1+]	-0.002	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2067	M(S34)+H[1+]	0.0021	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2069	M(S34)+H[1+]	0.0023	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	322.2114	M-CO+H[1+]	-0.0024	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2041	M(Cl37)+H[1+]	-0.0019	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	322.2159	M-CO+H[1+]	0.0021	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	351.2147	M(C13)+H[1+]	0.0025	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	282.22	M-HCOONa+H[1+]	-0.0014	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2052	M(Cl37)+H[1+]	-0.0008	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	368.2172	M+H2O+H[1+]	-0.0022	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	332.1965	M-H2O+H[1+]	-0.0017	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	306.2171	M-CO2+H[1+]	-0.0019	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	306.2166	M-CO2+H[1+]	-0.0024	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	278.1855	M-C3H4O2+H[1+]	-0.0022	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2069	M(Cl37)+H[1+]	0.0009	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	322.211	M-CO+H[1+]	-0.0028	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	322.212	M-CO+H[1+]	-0.0018	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	282.2205	M-HCOONa+H[1+]	-0.0009	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2026	M(S34)+H[1+]	-0.002	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	434.1665	M+HCOOK[1+]	-0.0036	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	332.1966	M-H2O+H[1+]	-0.0016	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	282.2194	M-HCOONa+H[1+]	-0.002	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	332.1962	M-H2O+H[1+]	-0.002	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	314.1868	M-H4O2+H[1+]	-0.0008	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	372.1919	M+Na[1+]	0.0011	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	418.1944	M+HCOONa[1+]	-0.0018	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	368.2165	M+H2O+H[1+]	-0.0029	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	332.1963	M-H2O+H[1+]	-0.0019	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	304.2012	M-HCOOH+H[1+]	-0.0022	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2025	M(Cl37)+H[1+]	-0.0035	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	306.2163	M-CO2+H[1+]	-0.0027	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2033	M(Cl37)+H[1+]	-0.0027	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2052	M(S34)+H[1+]	0.0006	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	418.2	M+HCOONa[1+]	0.0038	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	314.1852	M-H4O2+H[1+]	-0.0024	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	278.1866	M-C3H4O2+H[1+]	-0.0011	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2028	M(S34)+H[1+]	-0.0018	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2017	M(S34)+H[1+]	-0.0029	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2026	M(Cl37)+H[1+]	-0.0034	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	282.2189	M-HCOONa+H[1+]	-0.0025	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	282.2197	M-HCOONa+H[1+]	-0.0017	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2041	M(S34)+H[1+]	-0.0005	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	368.217	M+H2O+H[1+]	-0.0024	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	322.2166	M-CO+H[1+]	0.0028	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	306.2169	M-CO2+H[1+]	-0.0021	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	304.2009	M-HCOOH+H[1+]	-0.0025	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	388.163	M+K[1+]	-0.0013	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2034	M(Cl37)+H[1+]	-0.0026	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	282.2201	M-HCOONa+H[1+]	-0.0013	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	314.1862	M-H4O2+H[1+]	-0.0014	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2033	M(S34)+H[1+]	-0.0013	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	350.2062	M+H[1+]	-0.0026	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	388.1628	M+K[1+]	-0.0015	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	350.2065	M+H[1+]	-0.0023	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	282.2195	M-HCOONa+H[1+]	-0.0019	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	314.1907	M-H4O2+H[1+]	0.0031	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	351.2132	M(C13)+H[1+]	0.001	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	332.1952	M-H2O+H[1+]	-0.003	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	322.2127	M-CO+H[1+]	-0.0011	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	282.2192	M-HCOONa+H[1+]	-0.0022	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	314.1871	M-H4O2+H[1+]	-0.0005	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	314.1847	M-H4O2+H[1+]	-0.0029	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2021	M(S34)+H[1+]	-0.0025	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	368.2168	M+H2O+H[1+]	-0.0026	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	372.1876	M+Na[1+]	-0.0032	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	350.2061	M+H[1+]	-0.0027	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	350.2063	M+H[1+]	-0.0025	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	282.2193	M-HCOONa+H[1+]	-0.0021	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	350.2066	M+H[1+]	-0.0022	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	332.1964	M-H2O+H[1+]	-0.0018	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2025	M(S34)+H[1+]	-0.0021	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	278.1858	M-C3H4O2+H[1+]	-0.0019	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	278.1864	M-C3H4O2+H[1+]	-0.0013	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	306.2167	M-CO2+H[1+]	-0.0023	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	282.2196	M-HCOONa+H[1+]	-0.0018	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	304.2006	M-HCOOH+H[1+]	-0.0028	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	314.1856	M-H4O2+H[1+]	-0.002	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	388.1666	M+K[1+]	0.0023	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	352.2019	M(S34)+H[1+]	-0.0027	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	306.217	M-CO2+H[1+]	-0.002	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7115	20-hydroxy-leukotriene B5	322.2119	M-CO+H[1+]	-0.0019	Putative anti-Inflammatory metabolites formation from EPA	24	349.2015	among possibles CE2053,CE7112,CE5138,CE7088,CE5661,CE7114,CE7113,CE7115
CE7092	15-oxo-PGE1	118.0785	M+3H[3+]	-0.0012	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	316.2031	M-H4O2+H[1+]	-0.0001	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	370.2324	M+H2O+H[1+]	-0.0026	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	352.2257	M+H[1+]	0.0013	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	420.2093	M+HCOONa[1+]	-0.0025	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	334.2147	M-H2O+H[1+]	0.0009	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	306.2169	M-HCOOH+H[1+]	-0.0021	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	436.186	M+HCOOK[1+]	0.0003	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	284.2393	M-HCOONa+H[1+]	0.0023	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	316.2018	M-H4O2+H[1+]	-0.0014	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	334.2156	M-H2O+H[1+]	0.0018	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	351.2147	M[1+]	-0.0025	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	436.1864	M+HCOOK[1+]	0.0007	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	334.2125	M-H2O+H[1+]	-0.0013	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	334.2149	M-H2O+H[1+]	0.0011	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	306.2171	M-HCOOH+H[1+]	-0.0019	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	334.2163	M-H2O+H[1+]	0.0025	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	370.2384	M+H2O+H[1+]	0.0034	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	370.2342	M+H2O+H[1+]	-0.0008	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	324.228	M-CO+H[1+]	-0.0014	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	306.2167	M-HCOOH+H[1+]	-0.0023	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	436.1866	M+HCOOK[1+]	0.0009	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	118.0794	M+3H[3+]	-0.0003	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	306.2163	M-HCOOH+H[1+]	-0.0027	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	334.217	M-H2O+H[1+]	0.0032	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	334.212	M-H2O+H[1+]	-0.0018	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
CE7092	15-oxo-PGE1	316.2013	M-H4O2+H[1+]	-0.0019	Prostaglandin formation from dihomo gama-linoleic acid	21	351.2172	among possibles CE6248,CE6247,CE7092,CE5662,CE2569,CE2568
