pathway	overlap_size	pathway_size	p-value (raw)	p-value	overlap_features (name)	overlap_features (id)	used_input_mzs
341.2317	C16661	M(C13)+H[1+]	0.0012	L-alpha-Acetyl-N-normethadol; nor-LAAM	Drug metabolism - cytochrome P450
362.2097	C16661	M+Na[1+]	0.0006	L-alpha-Acetyl-N-normethadol; nor-LAAM	Drug metabolism - cytochrome P450
268.2036	C16661	M-C3H4O2+H[1+]	-0.0024	L-alpha-Acetyl-N-normethadol; nor-LAAM	Drug metabolism - cytochrome P450
398.1864	C16661	M+NaCl[1+]	0.0007	L-alpha-Acetyl-N-normethadol; nor-LAAM	Drug metabolism - cytochrome P450
378.1854	C16661	M+K[1+]	0.0028	L-alpha-Acetyl-N-normethadol; nor-LAAM	Drug metabolism - cytochrome P450
268.2037	C16661	M-C3H4O2+H[1+]	-0.0023	L-alpha-Acetyl-N-normethadol; nor-LAAM	Drug metabolism - cytochrome P450
322.2166	C16661	M-H2O+H[1+]	0.0001	L-alpha-Acetyl-N-normethadol; nor-LAAM	Drug metabolism - cytochrome P450
268.2041	C16661	M-C3H4O2+H[1+]	-0.0019	L-alpha-Acetyl-N-normethadol; nor-LAAM	Drug metabolism - cytochrome P450
296.2348	C16661	M-CO2+H[1+]	-0.0025	L-alpha-Acetyl-N-normethadol; nor-LAAM	Drug metabolism - cytochrome P450
296.2357	C16661	M-CO2+H[1+]	-0.0016	L-alpha-Acetyl-N-normethadol; nor-LAAM	Drug metabolism - cytochrome P450
268.2043	C16661	M-C3H4O2+H[1+]	-0.0017	L-alpha-Acetyl-N-normethadol; nor-LAAM	Drug metabolism - cytochrome P450
268.204	C16661	M-C3H4O2+H[1+]	-0.002	L-alpha-Acetyl-N-normethadol; nor-LAAM	Drug metabolism - cytochrome P450
322.2159	C16661	M-H2O+H[1+]	-0.0006	L-alpha-Acetyl-N-normethadol; nor-LAAM	Drug metabolism - cytochrome P450
312.2294	C16661	M-CO+H[1+]	-0.0027	L-alpha-Acetyl-N-normethadol; nor-LAAM	Drug metabolism - cytochrome P450
378.1853	C16661	M+K[1+]	0.0027	L-alpha-Acetyl-N-normethadol; nor-LAAM	Drug metabolism - cytochrome P450
342.2231	C16661	M(S34)+H[1+]	0.0002	L-alpha-Acetyl-N-normethadol; nor-LAAM	Drug metabolism - cytochrome P450
268.2038	C16661	M-C3H4O2+H[1+]	-0.0022	L-alpha-Acetyl-N-normethadol; nor-LAAM	Drug metabolism - cytochrome P450
364.1646	C16662	M+K[1+]	-0.0024	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
282.2197	C16662	M-CO2+H[1+]	-0.002	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
325.202	C16662	M[1+]	-0.0022	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
282.2195	C16662	M-CO2+H[1+]	-0.0022	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
254.1906	C16662	M-C3H4O2+H[1+]	0.0002	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
410.1712	C16662	M+HCOOK[1+]	-0.0016	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
325.204	C16662	M[1+]	-0.0002	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
410.1709	C16662	M+HCOOK[1+]	-0.0019	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
410.1751	C16662	M+HCOOK[1+]	0.0023	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
348.1931	C16662	M+Na[1+]	-0.0004	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
348.1922	C16662	M+Na[1+]	-0.0013	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
325.2017	C16662	M[1+]	-0.0025	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
394.1974	C16662	M+HCOONa[1+]	-0.0015	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
308.198	C16662	M-H2O+H[1+]	-0.0029	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
254.1881	C16662	M-C3H4O2+H[1+]	-0.0023	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
254.1893	C16662	M-C3H4O2+H[1+]	-0.0011	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
282.22	C16662	M-CO2+H[1+]	-0.0017	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
410.1718	C16662	M+HCOOK[1+]	-0.001	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
326.2094	C16662	M+H[1+]	-0.0021	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
282.2201	C16662	M-CO2+H[1+]	-0.0016	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
298.2151	C16662	M-CO+H[1+]	-0.0014	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
254.188	C16662	M-C3H4O2+H[1+]	-0.0024	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
282.2196	C16662	M-CO2+H[1+]	-0.0021	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
326.2084	C16662	M+H[1+]	-0.0031	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
282.2192	C16662	M-CO2+H[1+]	-0.0025	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
282.2205	C16662	M-CO2+H[1+]	-0.0012	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
282.2194	C16662	M-CO2+H[1+]	-0.0023	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
282.2189	C16662	M-CO2+H[1+]	-0.0028	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
348.194	C16662	M+Na[1+]	0.0005	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
282.2193	C16662	M-CO2+H[1+]	-0.0024	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
254.1882	C16662	M-C3H4O2+H[1+]	-0.0022	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
348.1906	C16662	M+Na[1+]	-0.0029	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
282.2198	C16662	M-CO2+H[1+]	-0.0019	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
254.1883	C16662	M-C3H4O2+H[1+]	-0.0021	L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM	Drug metabolism - cytochrome P450
318.2169	CE6251	M-H2O+H[1+]	-0.002	12,20-DiHETE	Arachidonic acid metabolism
420.1942	CE6251	M+HCOOK[1+]	0.0034	12,20-DiHETE	Arachidonic acid metabolism
336.2296	CE6251	M+H[1+]	0.0001	12,20-DiHETE	Arachidonic acid metabolism
336.2276	CE6251	M+H[1+]	-0.0019	12,20-DiHETE	Arachidonic acid metabolism
290.2221	CE6251	M-HCOOH+H[1+]	-0.002	12,20-DiHETE	Arachidonic acid metabolism
290.2245	CE6251	M-HCOOH+H[1+]	0.0004	12,20-DiHETE	Arachidonic acid metabolism
420.187	CE6251	M+HCOOK[1+]	-0.0038	12,20-DiHETE	Arachidonic acid metabolism
354.2372	CE6251	M+H2O+H[1+]	-0.0029	12,20-DiHETE	Arachidonic acid metabolism
318.2174	CE6251	M-H2O+H[1+]	-0.0015	12,20-DiHETE	Arachidonic acid metabolism
354.2381	CE6251	M+H2O+H[1+]	-0.002	12,20-DiHETE	Arachidonic acid metabolism
319.2005	CE6251	M-NH3+H[1+]	-0.0025	12,20-DiHETE	Arachidonic acid metabolism
336.2278	CE6251	M+H[1+]	-0.0017	12,20-DiHETE	Arachidonic acid metabolism
300.2065	CE6251	M-H4O2+H[1+]	-0.0018	12,20-DiHETE	Arachidonic acid metabolism
268.2401	CE6251	M-HCOONa+H[1+]	-0.002	12,20-DiHETE	Arachidonic acid metabolism
264.2087	CE6251	M-C3H4O2+H[1+]	0.0003	12,20-DiHETE	Arachidonic acid metabolism
319.2011	CE6251	M-NH3+H[1+]	-0.0019	12,20-DiHETE	Arachidonic acid metabolism
420.1888	CE6251	M+HCOOK[1+]	-0.002	12,20-DiHETE	Arachidonic acid metabolism
318.2168	CE6251	M-H2O+H[1+]	-0.0021	12,20-DiHETE	Arachidonic acid metabolism
268.2404	CE6251	M-HCOONa+H[1+]	-0.0017	12,20-DiHETE	Arachidonic acid metabolism
292.2373	CE6251	M-CO2+H[1+]	-0.0024	12,20-DiHETE	Arachidonic acid metabolism
300.2066	CE6251	M-H4O2+H[1+]	-0.0017	12,20-DiHETE	Arachidonic acid metabolism
354.2393	CE6251	M+H2O+H[1+]	-0.0008	12,20-DiHETE	Arachidonic acid metabolism
290.225	CE6251	M-HCOOH+H[1+]	0.0009	12,20-DiHETE	Arachidonic acid metabolism
290.2237	CE6251	M-HCOOH+H[1+]	-0.0004	12,20-DiHETE	Arachidonic acid metabolism
336.2271	CE6251	M+H[1+]	-0.0024	12,20-DiHETE	Arachidonic acid metabolism
420.1894	CE6251	M+HCOOK[1+]	-0.0014	12,20-DiHETE	Arachidonic acid metabolism
358.2122	CE6251	M+Na[1+]	0.0007	12,20-DiHETE	Arachidonic acid metabolism
354.2402	CE6251	M+H2O+H[1+]	0.0001	12,20-DiHETE	Arachidonic acid metabolism
358.2092	CE6251	M+Na[1+]	-0.0023	12,20-DiHETE	Arachidonic acid metabolism
290.2222	CE6251	M-HCOOH+H[1+]	-0.0019	12,20-DiHETE	Arachidonic acid metabolism
264.2086	CE6251	M-C3H4O2+H[1+]	0.0002	12,20-DiHETE	Arachidonic acid metabolism
318.2172	CE6251	M-H2O+H[1+]	-0.0017	12,20-DiHETE	Arachidonic acid metabolism
358.2133	CE6251	M+Na[1+]	0.0018	12,20-DiHETE	Arachidonic acid metabolism
354.2376	CE6251	M+H2O+H[1+]	-0.0025	12,20-DiHETE	Arachidonic acid metabolism
420.1893	CE6251	M+HCOOK[1+]	-0.0015	12,20-DiHETE	Arachidonic acid metabolism
300.2064	CE6251	M-H4O2+H[1+]	-0.0019	12,20-DiHETE	Arachidonic acid metabolism
268.2398	CE6251	M-HCOONa+H[1+]	-0.0023	12,20-DiHETE	Arachidonic acid metabolism
318.2171	CE6251	M-H2O+H[1+]	-0.0018	12,20-DiHETE	Arachidonic acid metabolism
336.2275	CE6251	M+H[1+]	-0.002	12,20-DiHETE	Arachidonic acid metabolism
336.2293	CE6251	M+H[1+]	-0.0002	12,20-DiHETE	Arachidonic acid metabolism
300.2063	CE6251	M-H4O2+H[1+]	-0.002	12,20-DiHETE	Arachidonic acid metabolism
354.2431	CE6251	M+H2O+H[1+]	0.003	12,20-DiHETE	Arachidonic acid metabolism
336.2272	CE6251	M+H[1+]	-0.0023	12,20-DiHETE	Arachidonic acid metabolism
268.2405	CE6251	M-HCOONa+H[1+]	-0.0016	12,20-DiHETE	Arachidonic acid metabolism
268.2415	CE6251	M-HCOONa+H[1+]	-0.0006	12,20-DiHETE	Arachidonic acid metabolism
290.2235	CE6251	M-HCOOH+H[1+]	-0.0006	12,20-DiHETE	Arachidonic acid metabolism
336.2268	CE6251	M+H[1+]	-0.0027	12,20-DiHETE	Arachidonic acid metabolism
354.2426	CE6251	M+H2O+H[1+]	0.0025	12,20-DiHETE	Arachidonic acid metabolism
336.2274	CE6251	M+H[1+]	-0.0021	12,20-DiHETE	Arachidonic acid metabolism
290.2239	CE6251	M-HCOOH+H[1+]	-0.0002	12,20-DiHETE	Arachidonic acid metabolism
354.238	CE6251	M+H2O+H[1+]	-0.0021	12,20-DiHETE	Arachidonic acid metabolism
354.2383	CE6251	M+H2O+H[1+]	-0.0018	12,20-DiHETE	Arachidonic acid metabolism
268.2402	CE6251	M-HCOONa+H[1+]	-0.0019	12,20-DiHETE	Arachidonic acid metabolism
354.2377	CE6251	M+H2O+H[1+]	-0.0024	12,20-DiHETE	Arachidonic acid metabolism
336.2277	CE6251	M+H[1+]	-0.0018	12,20-DiHETE	Arachidonic acid metabolism
268.24	CE6251	M-HCOONa+H[1+]	-0.0021	12,20-DiHETE	Arachidonic acid metabolism
292.2418	CE6251	M-CO2+H[1+]	0.0021	12,20-DiHETE	Arachidonic acid metabolism
336.2282	CE6251	M+H[1+]	-0.0013	12,20-DiHETE	Arachidonic acid metabolism
501.3505	CE6219	M+HCOONa[1+]	-0.0045		Vitamin E metabolism
455.3453	CE6219	M+Na[1+]	-0.0043		Vitamin E metabolism
228.1764	CE6219	M+H+Na[2+]	-0.0021		Vitamin E metabolism
433.3668	CE6219	M+H[1+]	-0.0008		Vitamin E metabolism
433.3662	CE6219	M+H[1+]	-0.0014		Vitamin E metabolism
455.3477	CE6219	M+Na[1+]	-0.0019		Vitamin E metabolism
415.356	CE6219	M-H2O+H[1+]	-0.001		Vitamin E metabolism
501.3501	CE6219	M+HCOONa[1+]	-0.0049		Vitamin E metabolism
433.3651	CE6219	M+H[1+]	-0.0025		Vitamin E metabolism
415.3552	CE6219	M-H2O+H[1+]	-0.0018		Vitamin E metabolism
318.2169	CE7172	M-H2O+H[1+]	-0.002	14,15-DiHETE	Arachidonic acid metabolism
420.1942	CE7172	M+HCOOK[1+]	0.0034	14,15-DiHETE	Arachidonic acid metabolism
336.2296	CE7172	M+H[1+]	0.0001	14,15-DiHETE	Arachidonic acid metabolism
336.2276	CE7172	M+H[1+]	-0.0019	14,15-DiHETE	Arachidonic acid metabolism
290.2221	CE7172	M-HCOOH+H[1+]	-0.002	14,15-DiHETE	Arachidonic acid metabolism
290.2245	CE7172	M-HCOOH+H[1+]	0.0004	14,15-DiHETE	Arachidonic acid metabolism
420.187	CE7172	M+HCOOK[1+]	-0.0038	14,15-DiHETE	Arachidonic acid metabolism
354.2372	CE7172	M+H2O+H[1+]	-0.0029	14,15-DiHETE	Arachidonic acid metabolism
318.2174	CE7172	M-H2O+H[1+]	-0.0015	14,15-DiHETE	Arachidonic acid metabolism
354.2381	CE7172	M+H2O+H[1+]	-0.002	14,15-DiHETE	Arachidonic acid metabolism
319.2005	CE7172	M-NH3+H[1+]	-0.0025	14,15-DiHETE	Arachidonic acid metabolism
336.2278	CE7172	M+H[1+]	-0.0017	14,15-DiHETE	Arachidonic acid metabolism
300.2065	CE7172	M-H4O2+H[1+]	-0.0018	14,15-DiHETE	Arachidonic acid metabolism
268.2401	CE7172	M-HCOONa+H[1+]	-0.002	14,15-DiHETE	Arachidonic acid metabolism
264.2087	CE7172	M-C3H4O2+H[1+]	0.0003	14,15-DiHETE	Arachidonic acid metabolism
319.2011	CE7172	M-NH3+H[1+]	-0.0019	14,15-DiHETE	Arachidonic acid metabolism
420.1888	CE7172	M+HCOOK[1+]	-0.002	14,15-DiHETE	Arachidonic acid metabolism
318.2168	CE7172	M-H2O+H[1+]	-0.0021	14,15-DiHETE	Arachidonic acid metabolism
268.2404	CE7172	M-HCOONa+H[1+]	-0.0017	14,15-DiHETE	Arachidonic acid metabolism
292.2373	CE7172	M-CO2+H[1+]	-0.0024	14,15-DiHETE	Arachidonic acid metabolism
300.2066	CE7172	M-H4O2+H[1+]	-0.0017	14,15-DiHETE	Arachidonic acid metabolism
354.2393	CE7172	M+H2O+H[1+]	-0.0008	14,15-DiHETE	Arachidonic acid metabolism
290.225	CE7172	M-HCOOH+H[1+]	0.0009	14,15-DiHETE	Arachidonic acid metabolism
290.2237	CE7172	M-HCOOH+H[1+]	-0.0004	14,15-DiHETE	Arachidonic acid metabolism
336.2271	CE7172	M+H[1+]	-0.0024	14,15-DiHETE	Arachidonic acid metabolism
420.1894	CE7172	M+HCOOK[1+]	-0.0014	14,15-DiHETE	Arachidonic acid metabolism
358.2122	CE7172	M+Na[1+]	0.0007	14,15-DiHETE	Arachidonic acid metabolism
354.2402	CE7172	M+H2O+H[1+]	0.0001	14,15-DiHETE	Arachidonic acid metabolism
358.2092	CE7172	M+Na[1+]	-0.0023	14,15-DiHETE	Arachidonic acid metabolism
290.2222	CE7172	M-HCOOH+H[1+]	-0.0019	14,15-DiHETE	Arachidonic acid metabolism
264.2086	CE7172	M-C3H4O2+H[1+]	0.0002	14,15-DiHETE	Arachidonic acid metabolism
318.2172	CE7172	M-H2O+H[1+]	-0.0017	14,15-DiHETE	Arachidonic acid metabolism
358.2133	CE7172	M+Na[1+]	0.0018	14,15-DiHETE	Arachidonic acid metabolism
354.2376	CE7172	M+H2O+H[1+]	-0.0025	14,15-DiHETE	Arachidonic acid metabolism
420.1893	CE7172	M+HCOOK[1+]	-0.0015	14,15-DiHETE	Arachidonic acid metabolism
300.2064	CE7172	M-H4O2+H[1+]	-0.0019	14,15-DiHETE	Arachidonic acid metabolism
268.2398	CE7172	M-HCOONa+H[1+]	-0.0023	14,15-DiHETE	Arachidonic acid metabolism
318.2171	CE7172	M-H2O+H[1+]	-0.0018	14,15-DiHETE	Arachidonic acid metabolism
336.2275	CE7172	M+H[1+]	-0.002	14,15-DiHETE	Arachidonic acid metabolism
336.2293	CE7172	M+H[1+]	-0.0002	14,15-DiHETE	Arachidonic acid metabolism
300.2063	CE7172	M-H4O2+H[1+]	-0.002	14,15-DiHETE	Arachidonic acid metabolism
354.2431	CE7172	M+H2O+H[1+]	0.003	14,15-DiHETE	Arachidonic acid metabolism
336.2272	CE7172	M+H[1+]	-0.0023	14,15-DiHETE	Arachidonic acid metabolism
268.2405	CE7172	M-HCOONa+H[1+]	-0.0016	14,15-DiHETE	Arachidonic acid metabolism
268.2415	CE7172	M-HCOONa+H[1+]	-0.0006	14,15-DiHETE	Arachidonic acid metabolism
290.2235	CE7172	M-HCOOH+H[1+]	-0.0006	14,15-DiHETE	Arachidonic acid metabolism
336.2268	CE7172	M+H[1+]	-0.0027	14,15-DiHETE	Arachidonic acid metabolism
354.2426	CE7172	M+H2O+H[1+]	0.0025	14,15-DiHETE	Arachidonic acid metabolism
336.2274	CE7172	M+H[1+]	-0.0021	14,15-DiHETE	Arachidonic acid metabolism
290.2239	CE7172	M-HCOOH+H[1+]	-0.0002	14,15-DiHETE	Arachidonic acid metabolism
354.238	CE7172	M+H2O+H[1+]	-0.0021	14,15-DiHETE	Arachidonic acid metabolism
354.2383	CE7172	M+H2O+H[1+]	-0.0018	14,15-DiHETE	Arachidonic acid metabolism
268.2402	CE7172	M-HCOONa+H[1+]	-0.0019	14,15-DiHETE	Arachidonic acid metabolism
354.2377	CE7172	M+H2O+H[1+]	-0.0024	14,15-DiHETE	Arachidonic acid metabolism
336.2277	CE7172	M+H[1+]	-0.0018	14,15-DiHETE	Arachidonic acid metabolism
268.24	CE7172	M-HCOONa+H[1+]	-0.0021	14,15-DiHETE	Arachidonic acid metabolism
292.2418	CE7172	M-CO2+H[1+]	0.0021	14,15-DiHETE	Arachidonic acid metabolism
336.2282	CE7172	M+H[1+]	-0.0013	14,15-DiHETE	Arachidonic acid metabolism
186.126	C05963	M+2H[2+]	0.001		Prostaglandin formation from arachidonate
370.2324	C05963	M[1+]	-0.0031		Prostaglandin formation from arachidonate
371.2448	C05963	M+H[1+]	0.002		Prostaglandin formation from arachidonate
287.2814	C05963	M-HCOOK+H[1+]	-0.0001		Prostaglandin formation from arachidonate
287.2806	C05963	M-HCOOK+H[1+]	-0.0009		Prostaglandin formation from arachidonate
287.2805	C05963	M-HCOOK+H[1+]	-0.001		Prostaglandin formation from arachidonate
287.2808	C05963	M-HCOOK+H[1+]	-0.0007		Prostaglandin formation from arachidonate
370.2384	C05963	M[1+]	0.0029		Prostaglandin formation from arachidonate
371.245	C05963	M+H[1+]	0.0022		Prostaglandin formation from arachidonate
371.2443	C05963	M+H[1+]	0.0015		Prostaglandin formation from arachidonate
186.1256	C05963	M+2H[2+]	0.0006		Prostaglandin formation from arachidonate
197.1163	C05963	M+H+Na[2+]	0.0003		Prostaglandin formation from arachidonate
372.2487	C05963	M(C13)+H[1+]	0.0025		Prostaglandin formation from arachidonate
287.2822	C05963	M-HCOOK+H[1+]	0.0007		Prostaglandin formation from arachidonate
370.2342	C05963	M[1+]	-0.0013		Prostaglandin formation from arachidonate
287.2819	C05963	M-HCOOK+H[1+]	0.0004		Prostaglandin formation from arachidonate
186.1251	C05963	M+2H[2+]	0.0001		Prostaglandin formation from arachidonate
368.217	C05962	M[1+]	-0.0029		Prostaglandin formation from arachidonate
427.1818	C05962	M+NaCl[1+]	-0.004		Prostaglandin formation from arachidonate
196.1091	C05962	M+H+Na[2+]	0.0009		Prostaglandin formation from arachidonate
352.2028	C05962	M-NH3+H[1+]	0.0021		Prostaglandin formation from arachidonate
301.2378	C05962	M-HCOONa+H[1+]	-0.002		Prostaglandin formation from arachidonate
370.2342	C05962	M(C13)+H[1+]	0.0036		Prostaglandin formation from arachidonate
352.2025	C05962	M-NH3+H[1+]	0.0018		Prostaglandin formation from arachidonate
368.2166	C05962	M[1+]	-0.0033		Prostaglandin formation from arachidonate
352.2021	C05962	M-NH3+H[1+]	0.0014		Prostaglandin formation from arachidonate
352.2033	C05962	M-NH3+H[1+]	0.0026		Prostaglandin formation from arachidonate
368.2165	C05962	M[1+]	-0.0034		Prostaglandin formation from arachidonate
371.228	C05962	M(Cl37)+H[1+]	0.0036		Prostaglandin formation from arachidonate
301.2402	C05962	M-HCOONa+H[1+]	0.0004		Prostaglandin formation from arachidonate
351.2147	C05962	M-H2O+H[1+]	-0.0019		Prostaglandin formation from arachidonate
341.2327	C05962	M-CO+H[1+]	0.0005		Prostaglandin formation from arachidonate
368.2172	C05962	M[1+]	-0.0027		Prostaglandin formation from arachidonate
285.2667	C05962	M-HCOOK+H[1+]	0.0008		Prostaglandin formation from arachidonate
351.2132	C05962	M-H2O+H[1+]	-0.0034		Prostaglandin formation from arachidonate
352.2041	C05962	M-NH3+H[1+]	0.0034		Prostaglandin formation from arachidonate
352.2026	C05962	M-NH3+H[1+]	0.0019		Prostaglandin formation from arachidonate
352.2034	C05962	M-NH3+H[1+]	0.0027		Prostaglandin formation from arachidonate
341.2317	C05962	M-CO+H[1+]	-0.0005		Prostaglandin formation from arachidonate
285.2666	C05962	M-HCOOK+H[1+]	0.0007		Prostaglandin formation from arachidonate
368.2168	C05962	M[1+]	-0.0031		Prostaglandin formation from arachidonate
370.2324	C05962	M(C13)+H[1+]	0.0018		Prostaglandin formation from arachidonate
285.2641	C05962	M-HCOOK+H[1+]	-0.0018		Prostaglandin formation from arachidonate
352.2017	C05962	M-NH3+H[1+]	0.001		Prostaglandin formation from arachidonate
285.2649	C05962	M-HCOOK+H[1+]	-0.001		Prostaglandin formation from arachidonate
352.2019	C05962	M-NH3+H[1+]	0.0012		Prostaglandin formation from arachidonate
285.2665	C05962	M-HCOOK+H[1+]	0.0006		Prostaglandin formation from arachidonate
369.2273	C05962	M+H[1+]	0.0001		Prostaglandin formation from arachidonate
370.2309	C05962	M(C13)+H[1+]	0.0003		Prostaglandin formation from arachidonate
285.2668	C05962	M-HCOOK+H[1+]	0.0009		Prostaglandin formation from arachidonate
159.1254	clpndcrn	M(C13)+3H[3+]	0.0002	clupanodonyl carnitine	Carnitine shuttle
532.3149	clpndcrn	M+NaCl[1+]	-0.0015	clupanodonyl carnitine	Carnitine shuttle
476.3582	clpndcrn	M(Cl37)+H[1+]	0.0032	clupanodonyl carnitine	Carnitine shuttle
159.1257	clpndcrn	M(C13)+3H[3+]	0.0005	clupanodonyl carnitine	Carnitine shuttle
532.3151	clpndcrn	M+NaCl[1+]	-0.0013	clupanodonyl carnitine	Carnitine shuttle
438.3335	clpndcrn	M-H4O2+H[1+]	-0.0031	clupanodonyl carnitine	Carnitine shuttle
438.3333	clpndcrn	M-H4O2+H[1+]	-0.0033	clupanodonyl carnitine	Carnitine shuttle
438.3346	clpndcrn	M-H4O2+H[1+]	-0.002	clupanodonyl carnitine	Carnitine shuttle
473.3495	clpndcrn	M[1+]	-0.001	clupanodonyl carnitine	Carnitine shuttle
438.3332	clpndcrn	M-H4O2+H[1+]	-0.0034	clupanodonyl carnitine	Carnitine shuttle
512.3154	clpndcrn	M+K[1+]	0.0021	clupanodonyl carnitine	Carnitine shuttle
512.315	clpndcrn	M+K[1+]	0.0017	clupanodonyl carnitine	Carnitine shuttle
542.3492	clpndcrn	M+HCOONa[1+]	0.004	clupanodonyl carnitine	Carnitine shuttle
438.333	clpndcrn	M-H4O2+H[1+]	-0.0036	clupanodonyl carnitine	Carnitine shuttle
558.322	clpndcrn	M+HCOOK[1+]	0.0029	clupanodonyl carnitine	Carnitine shuttle
476.3494	clpndcrn	M(S34)+H[1+]	-0.0042	clupanodonyl carnitine	Carnitine shuttle
542.3398	clpndcrn	M+HCOONa[1+]	-0.0054	clupanodonyl carnitine	Carnitine shuttle
476.3582	clpndcrn	M(S34)+H[1+]	0.0046	clupanodonyl carnitine	Carnitine shuttle
438.3334	clpndcrn	M-H4O2+H[1+]	-0.0032	clupanodonyl carnitine	Carnitine shuttle
473.3503	clpndcrn	M[1+]	-0.0002	clupanodonyl carnitine	Carnitine shuttle
438.334	clpndcrn	M-H4O2+H[1+]	-0.0026	clupanodonyl carnitine	Carnitine shuttle
438.3336	clpndcrn	M-H4O2+H[1+]	-0.003	clupanodonyl carnitine	Carnitine shuttle
476.3587	clpndcrn	M(Cl37)+H[1+]	0.0037	clupanodonyl carnitine	Carnitine shuttle
269.2711	C04654	M-HCOOK+H[1+]	0.0001	(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate	Arachidonic acid metabolism
371.2443	C04654	M+H2O+H[1+]	0.0014	(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate	Arachidonic acid metabolism
371.245	C04654	M+H2O+H[1+]	0.0021	(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate	Arachidonic acid metabolism
354.2383	C04654	M(C13)+H[1+]	0.0026	(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate	Arachidonic acid metabolism
352.2257	C04654	M[1+]	0.0007	(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate	Arachidonic acid metabolism
354.2377	C04654	M(C13)+H[1+]	0.002	(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate	Arachidonic acid metabolism
354.2381	C04654	M(C13)+H[1+]	0.0024	(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate	Arachidonic acid metabolism
354.238	C04654	M(C13)+H[1+]	0.0023	(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate	Arachidonic acid metabolism
354.2376	C04654	M(C13)+H[1+]	0.0019	(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate	Arachidonic acid metabolism
354.2363	C04654	M(C13)+H[1+]	0.0006	(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate	Arachidonic acid metabolism
354.2372	C04654	M(C13)+H[1+]	0.0015	(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate	Arachidonic acid metabolism
