m/z	id	match_form	mz_difference	name	pathway
84.0215	C06144	M[1+]	0.0004	3-Butynoate	Butanoate metabolism
84.0306	C05411	M+2H[2+]	-0.0005		Ascorbate (Vitamin C) and Aldarate Metabolism
84.0306	C05412	M+2H[2+]	-0.0005		Ascorbate (Vitamin C) and Aldarate Metabolism
84.0306	C05653	M(C13)+2H[2+]	0.0003	Formylanthranilate; N-Formylanthranilate; 2-(Formylamino)-benzoic acid	Tryptophan metabolism
84.0306	CE5538	M(C13)+2H[2+]	0.0003	noradrenochrome	Tyrosine metabolism
86.0366	C05576	M+2H[2+]	0.0004	3,4-Dihydroxyphenylethyleneglycol	Tyrosine metabolism
86.0368	C05576	M+2H[2+]	0.0006	3,4-Dihydroxyphenylethyleneglycol	Tyrosine metabolism
86.0369	C05576	M+2H[2+]	0.0007	3,4-Dihydroxyphenylethyleneglycol	Tyrosine metabolism
86.037	C05576	M+2H[2+]	0.0008	3,4-Dihydroxyphenylethyleneglycol	Tyrosine metabolism
86.0419	C05401	M(C13)+3H[3+]	0.0002	3-beta-D-Galactosyl-sn-glycerol; Galactosylglycerol	Galactose metabolism$Glycerophospholipid metabolism$Sialic acid metabolism
86.0726	C00576	M-NH3+H[1+]	-0.0001	Betaine aldehyde	Glycine, serine, alanine and threonine metabolism
86.073	C00576	M-NH3+H[1+]	0.0003	Betaine aldehyde	Glycine, serine, alanine and threonine metabolism
88.0165	C00022	M[1+]	0.0005	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Pyruvate Metabolism$Methionine and cysteine metabolism$Pyrimidine metabolism$Purine metabolism$Glycine, serine, alanine and threonine metabolism$Arginine and Proline Metabolism$Vitamin B1 (thiamin) metabolism$Butanoate metabolism$Glycolysis and Gluconeogenesis$Aminosugars metabolism$Glutamate metabolism$Tyrosine metabolism$C5-Branched dibasic acid metabolism$Carbon fixation$Alanine and Aspartate Metabolism
88.0165	C00222	M[1+]	0.0005	3-Oxopropanoate; Malonate semialdehyde	Beta-Alanine metabolism$Glycerophospholipid metabolism$Histidine metabolism$Propanoate metabolism
88.0165	C07047	M(C13)+3H[3+]	-0.0001	Ifosfamide	Drug metabolism - cytochrome P450
88.0165	C07888	M(C13)+3H[3+]	-0.0001	Cyclophosphamide anhydrous	Drug metabolism - cytochrome P450
88.0523	C00246	M[1+]	-0.0001	Butanoic acid; Butanoate; Butyrate; Butyric acid	Butanoate metabolism$Fatty acid activation
88.0526	C00246	M[1+]	0.0002	Butanoic acid; Butanoate; Butyrate; Butyric acid	Butanoate metabolism$Fatty acid activation
88.0527	C00246	M[1+]	0.0003	Butanoic acid; Butanoate; Butyrate; Butyric acid	Butanoate metabolism$Fatty acid activation
90.0318	C00184	M[1+]	0.0001	Glycerone; Dihydroxyacetone; 1,3-Dihydroxyacetone; 1,3-Dihydroxy-2-propanone; 1,3-Dihydroxypropan-2-one	Glycerophospholipid metabolism
90.0318	C00186	M[1+]	0.0001	(S)-Lactate; L-Lactate; L-Lactic acid	Pyruvate Metabolism$Glycolysis and Gluconeogenesis
90.0318	C00198	M+2H[2+]	0.0007	D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone	Pentose phosphate pathway
90.0318	C00256	M[1+]	0.0001	(R)-Lactate; D-Lactate; D-Lactic acid; D-2-Hydroxypropanoic acid; D-2-Hydroxypropionic acid	Pyruvate Metabolism$Glycine, serine, alanine and threonine metabolism
90.0318	C00577	M[1+]	0.0001	D-Glyceraldehyde	Galactose metabolism$Glycerophospholipid metabolism$Fructose and mannose metabolism
90.0318	C01013	M[1+]	0.0001	3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid	Beta-Alanine metabolism$Propanoate metabolism
90.0318	C01040	M+2H[2+]	0.0007	L-Gulono-1,4-lactone; L-Gulono-gamma-lactone; gamma-Gulonolactone; L-Gulonic acid gamma-lactone; L-Gulonolactone	Ascorbate (Vitamin C) and Aldarate Metabolism
90.0318	C05394	M+2H[2+]	0.0007	3-Keto-beta-D-galactose	Galactose metabolism$Sialic acid metabolism
90.0319	C00184	M[1+]	0.0002	Glycerone; Dihydroxyacetone; 1,3-Dihydroxyacetone; 1,3-Dihydroxy-2-propanone; 1,3-Dihydroxypropan-2-one	Glycerophospholipid metabolism
90.0319	C00186	M[1+]	0.0002	(S)-Lactate; L-Lactate; L-Lactic acid	Pyruvate Metabolism$Glycolysis and Gluconeogenesis
90.0319	C00198	M+2H[2+]	0.0008	D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone	Pentose phosphate pathway
90.0319	C00256	M[1+]	0.0002	(R)-Lactate; D-Lactate; D-Lactic acid; D-2-Hydroxypropanoic acid; D-2-Hydroxypropionic acid	Pyruvate Metabolism$Glycine, serine, alanine and threonine metabolism
90.0319	C00577	M[1+]	0.0002	D-Glyceraldehyde	Galactose metabolism$Glycerophospholipid metabolism$Fructose and mannose metabolism
90.0319	C01013	M[1+]	0.0002	3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid	Beta-Alanine metabolism$Propanoate metabolism
90.0319	C01040	M+2H[2+]	0.0008	L-Gulono-1,4-lactone; L-Gulono-gamma-lactone; gamma-Gulonolactone; L-Gulonic acid gamma-lactone; L-Gulonolactone	Ascorbate (Vitamin C) and Aldarate Metabolism
90.0319	C05394	M+2H[2+]	0.0008	3-Keto-beta-D-galactose	Galactose metabolism$Sialic acid metabolism
90.0321	C00184	M[1+]	0.0004	Glycerone; Dihydroxyacetone; 1,3-Dihydroxyacetone; 1,3-Dihydroxy-2-propanone; 1,3-Dihydroxypropan-2-one	Glycerophospholipid metabolism
90.0321	C00186	M[1+]	0.0004	(S)-Lactate; L-Lactate; L-Lactic acid	Pyruvate Metabolism$Glycolysis and Gluconeogenesis
90.0321	C00256	M[1+]	0.0004	(R)-Lactate; D-Lactate; D-Lactic acid; D-2-Hydroxypropanoic acid; D-2-Hydroxypropionic acid	Pyruvate Metabolism$Glycine, serine, alanine and threonine metabolism
90.0321	C00577	M[1+]	0.0004	D-Glyceraldehyde	Galactose metabolism$Glycerophospholipid metabolism$Fructose and mannose metabolism
90.0321	C01013	M[1+]	0.0004	3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid	Beta-Alanine metabolism$Propanoate metabolism
94.0772	C00388	M-H2O+H[1+]	0.0009	1H-Imidazole-4-ethanamine; Histamine; 2-(4-Imidazolyl)ethylamine	Histidine metabolism
94.0772	C07054	M-CO2+H[1+]	0.0008	Isoniazid	Drug metabolism - other enzymes
96.9622	C07294	M-CO2+H[1+]	-0.0008	Methylarsonate; Methylarsonic acid	
96.9622	C07295	M-CO+H[1+]	-0.0007	Methylarsonite	
96.9624	C07294	M-CO2+H[1+]	-0.0006	Methylarsonate; Methylarsonic acid	
96.9624	C07295	M-CO+H[1+]	-0.0005	Methylarsonite	
97.9683	C00059	M[1+]	0.0009	Sulfate; Sulfuric acid	Glycosphingolipid metabolism$Androgen and estrogen biosynthesis and metabolism$Chondroitin sulfate degradation$Keratan sulfate degradation$Methionine and cysteine metabolism$Heparan sulfate degradation$Tyrosine metabolism$C21-steroid hormone biosynthesis and metabolism
98.0366	C00346	M-CO2+H[1+]	0.0	Ethanolamine phosphate; O-Phosphorylethanolamine; Phosphoethanolamine; O-Phosphoethanolamine	Glycosphingolipid metabolism$Glycerophospholipid metabolism
98.0366	C03557	M-CO+H[1+]	0.0001	(2-Aminoethyl)phosphonate; 2-Aminoethylphosphonate; Ciliatine	Aminosugars metabolism$Glycerophospholipid metabolism
99.0367	C00257	M+2H[2+]	0.0003	D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid	Pentose phosphate pathway
99.0367	C00800	M+2H[2+]	0.0003	L-Gulonate; L-Gulonic acid; Gulonate; Gulonic acid	Ascorbate (Vitamin C) and Aldarate Metabolism$Pentose and Glucuronate Interconversions
99.0367	C16356	M+2H[2+]	-0.0004	1,7-Dimethyluric acid	Caffeine metabolism
99.0367	C16360	M+2H[2+]	-0.0004		Caffeine metabolism
99.067	C04051	M-CO+H[1+]	0.0005	5-Amino-4-imidazolecarboxyamide	Purine metabolism
99.067	C05411	M-HCOONa+H[1+]	-0.0006		Ascorbate (Vitamin C) and Aldarate Metabolism
99.067	C05412	M-HCOONa+H[1+]	-0.0006		Ascorbate (Vitamin C) and Aldarate Metabolism
99.0671	C04051	M-CO+H[1+]	0.0006	5-Amino-4-imidazolecarboxyamide	Purine metabolism
99.0671	C05411	M-HCOONa+H[1+]	-0.0005		Ascorbate (Vitamin C) and Aldarate Metabolism
99.0671	C05412	M-HCOONa+H[1+]	-0.0005		Ascorbate (Vitamin C) and Aldarate Metabolism
99.0674	C04051	M-CO+H[1+]	0.0009	5-Amino-4-imidazolecarboxyamide	Purine metabolism
99.0674	C05411	M-HCOONa+H[1+]	-0.0002		Ascorbate (Vitamin C) and Aldarate Metabolism
99.0674	C05412	M-HCOONa+H[1+]	-0.0002		Ascorbate (Vitamin C) and Aldarate Metabolism
99.0677	C05411	M-HCOONa+H[1+]	0.0001		Ascorbate (Vitamin C) and Aldarate Metabolism
99.0677	C05412	M-HCOONa+H[1+]	0.0001		Ascorbate (Vitamin C) and Aldarate Metabolism
99.0679	C05411	M-HCOONa+H[1+]	0.0003		Ascorbate (Vitamin C) and Aldarate Metabolism
99.0679	C05412	M-HCOONa+H[1+]	0.0003		Ascorbate (Vitamin C) and Aldarate Metabolism
99.0681	C05411	M-HCOONa+H[1+]	0.0005		Ascorbate (Vitamin C) and Aldarate Metabolism
99.0681	C05412	M-HCOONa+H[1+]	0.0005		Ascorbate (Vitamin C) and Aldarate Metabolism
99.0681	C16353	M-HCOONa+H[1+]	-0.0009		Caffeine metabolism
99.0681	C16358	M-HCOONa+H[1+]	-0.0009	1-Methylxanthine	Caffeine metabolism
99.0682	C05411	M-HCOONa+H[1+]	0.0006		Ascorbate (Vitamin C) and Aldarate Metabolism
99.0682	C05412	M-HCOONa+H[1+]	0.0006		Ascorbate (Vitamin C) and Aldarate Metabolism
99.0682	C16353	M-HCOONa+H[1+]	-0.0008		Caffeine metabolism
99.0682	C16358	M-HCOONa+H[1+]	-0.0008	1-Methylxanthine	Caffeine metabolism
99.0684	C05411	M-HCOONa+H[1+]	0.0008		Ascorbate (Vitamin C) and Aldarate Metabolism
99.0684	C05412	M-HCOONa+H[1+]	0.0008		Ascorbate (Vitamin C) and Aldarate Metabolism
99.0684	C16353	M-HCOONa+H[1+]	-0.0006		Caffeine metabolism
99.0684	C16358	M-HCOONa+H[1+]	-0.0006	1-Methylxanthine	Caffeine metabolism
100.0153	C00072	M+H+Na[2+]	0.001	Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C	Prostaglandin formation from arachidonate$Purine metabolism$D4&E4-neuroprostanes formation$Linoleate metabolism$Tyrosine metabolism$Ascorbate (Vitamin C) and Aldarate Metabolism$Porphyrin metabolism
100.0153	C00189	M+K[1+]	-0.0003	Ethanolamine; Aminoethanol; 2-Hydroxyethylamine	Prostaglandin formation from arachidonate$Glycerophospholipid metabolism
100.0153	C02670	M+H+Na[2+]	0.001	D-Glucuronolactone; Glucurone; Glucofuranurono-6,3-lactone; D-Glucurono-3,6-lactone; D-Glucurone	
100.0153	glac	M+H+Na[2+]	0.001	D-glucurono-6,3-lactone	Ascorbate (Vitamin C) and Aldarate Metabolism
100.0892	C02373	M[1+]	0.0004	4-Methylpentanal; Isocaproaldehyde; Isohexanal	C21-steroid hormone biosynthesis and metabolism
100.0892	C16396	M-HCOONa+H[1+]	-0.0002	2,4-Diamino-6-nitrotoluene	
101.0839	C05580	M-HCOOK+H[1+]	0.0007	3,4-Dihydroxymandelate	Tyrosine metabolism
101.0839	C12455	M[1+]	-0.0002	5-Aminopentanal	
101.084	C05580	M-HCOOK+H[1+]	0.0008	3,4-Dihydroxymandelate	Tyrosine metabolism
101.084	C12455	M[1+]	-0.0001	5-Aminopentanal	
101.0841	C05580	M-HCOOK+H[1+]	0.0009	3,4-Dihydroxymandelate	Tyrosine metabolism
101.0841	C12455	M[1+]	0.0	5-Aminopentanal	
101.0843	C12455	M[1+]	0.0002	5-Aminopentanal	
101.1204	C00588	M-HCOOK+H[1+]	0.0005	Choline phosphate; Phosphorylcholine; Phosphocholine; O-Phosphocholine	Glycosphingolipid metabolism$Glycerophospholipid metabolism
101.1204	C01181	M-HCOOH+H[1+]	0.0004	4-Trimethylammoniobutanoate	Lysine metabolism
101.1204	C01996	M-HCOOH+H[1+]	0.0004	Acetylcholine; O-Acetylcholine	Glycerophospholipid metabolism
101.1204	C05594	M-HCOOK+H[1+]	0.0008	3-Methoxy-4-hydroxyphenylethyleneglycol	Tyrosine metabolism
101.1208	C00588	M-HCOOK+H[1+]	0.0009	Choline phosphate; Phosphorylcholine; Phosphocholine; O-Phosphocholine	Glycosphingolipid metabolism$Glycerophospholipid metabolism
101.1208	C01181	M-HCOOH+H[1+]	0.0008	4-Trimethylammoniobutanoate	Lysine metabolism
101.1208	C01996	M-HCOOH+H[1+]	0.0008	Acetylcholine; O-Acetylcholine	Glycerophospholipid metabolism
102.0314	C00109	M[1+]	-0.0003	2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Ketobutyric acid; alpha-Ketobutyrate	Methionine and cysteine metabolism$Propanoate metabolism$Glycine, serine, alanine and threonine metabolism$Aspartate and asparagine metabolism$Butanoate metabolism$Selenoamino acid metabolism
102.0314	C00164	M[1+]	-0.0003	Acetoacetate; 3-Oxobutanoic acid; beta-Ketobutyric acid; Acetoacetic acid	Squalene and cholesterol biosynthesis$Valine, leucine and isoleucine degradation$Butanoate metabolism$Tyrosine metabolism$Propanoate metabolism
102.0314	C00232	M[1+]	-0.0003	Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate	Butanoate metabolism$Aspartate and asparagine metabolism$Glutamate metabolism
102.0314	C00349	M[1+]	-0.0003	2-Methyl-3-oxopropanoate; 3-Oxo-2-methylpropanoate; Methylmalonate semialdehyde	Pyrimidine metabolism$Valine, leucine and isoleucine degradation
102.0314	C06002	M[1+]	-0.0003	(S)-Methylmalonate semialdehyde	Valine, leucine and isoleucine degradation$Propanoate metabolism
102.0314	C07480	M+H+Na[2+]	0.0008		Caffeine metabolism
102.0314	C13747	M+H+Na[2+]	0.0008	1,7-Dimethylxanthine; Paraxanthine	Caffeine metabolism
102.0314	CE5541	M+H+Na[2+]	0.0001	adrenochrome o-semiquinone	Tyrosine metabolism
103.0995	C00576	M+H[1+]	0.0003	Betaine aldehyde	Glycine, serine, alanine and threonine metabolism
103.0995	C06178	M+H2O+H[1+]	0.0003	1-Methylpyrrolinium	Alkaloid biosynthesis II
103.0996	C00576	M+H[1+]	0.0004	Betaine aldehyde	Glycine, serine, alanine and threonine metabolism
103.0996	C06178	M+H2O+H[1+]	0.0004	1-Methylpyrrolinium	Alkaloid biosynthesis II
103.0997	C00576	M+H[1+]	0.0005	Betaine aldehyde	Glycine, serine, alanine and threonine metabolism
103.0997	C06178	M+H2O+H[1+]	0.0005	1-Methylpyrrolinium	Alkaloid biosynthesis II
103.0998	C00576	M+H[1+]	0.0006	Betaine aldehyde	Glycine, serine, alanine and threonine metabolism
103.0998	C06178	M+H2O+H[1+]	0.0006	1-Methylpyrrolinium	Alkaloid biosynthesis II
103.1002	C00576	M+H[1+]	0.001	Betaine aldehyde	Glycine, serine, alanine and threonine metabolism
103.1002	C06178	M+H2O+H[1+]	0.001	1-Methylpyrrolinium	Alkaloid biosynthesis II
104.0267	C02470	M(C13)+2H[2+]	-0.001	Xanthurenic acid; Xanthurenate	Tryptophan metabolism
104.0471	C00989	M[1+]	-0.0002	4-Hydroxybutanoic acid; 4-Hydroxybutanoate; 4-Hydroxybutyric acid	Aspartate and asparagine metabolism
104.0471	C01089	M[1+]	-0.0002	(R)-3-Hydroxybutanoate; (R)-3-Hydroxybutanoic acid; (R)-3-Hydroxybutyric acid	Butanoate metabolism
104.0471	C01188	M[1+]	-0.0002	3-Hydroxy-2-methylpropanoate; 3-Hydroxyisobutyrate; 3-Hydroxyisobutyric acid	Valine, leucine and isoleucine degradation
104.0471	C03197	M[1+]	-0.0002	(S)-3-Hydroxybutanoate	
104.0471	C05984	M[1+]	-0.0002	2-Hydroxybutanoic acid; 2-Hydroxybutyrate; 2-Hydroxybutyric acid	Butanoate metabolism$Propanoate metabolism
104.0471	C06001	M[1+]	-0.0002	(S)-3-Hydroxyisobutyrate	Valine, leucine and isoleucine degradation
105.079	C04225	M-HCOOK+H[1+]	0.0009	(Z)-But-2-ene-1,2,3-tricarboxylate; cis-2-Methylaconitate	Propanoate metabolism
108.0216	C00472	M[1+]	0.0005	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone	
108.0216	C03557	M-H2O+H[1+]	0.0007	(2-Aminoethyl)phosphonate; 2-Aminoethylphosphonate; Ciliatine	Aminosugars metabolism$Glycerophospholipid metabolism
108.0216	CE1944	M+K[1+]	0.001	1-pyrroline	Aspartate and asparagine metabolism
108.0575	C16015	M+2H[2+]	0.0005	(+)-(1R,2R)-1,2-Diphenylethane-1,2-diol	
108.058	C16015	M+2H[2+]	0.001	(+)-(1R,2R)-1,2-Diphenylethane-1,2-diol	
108.0586	C14790	M-H4O2+H[1+]	-0.001		Xenobiotics metabolism
108.0602	C14790	M-H4O2+H[1+]	0.0006		Xenobiotics metabolism
108.0916	C05127	M-H2O+H[1+]	-0.0004	N-Methylhistamine; 1-Methylhistamine; 1-Methyl-4-(2-aminoethyl)imidazole; Ntau-Methylhistamine	Histidine metabolism
108.093	C05127	M-H2O+H[1+]	0.001	N-Methylhistamine; 1-Methylhistamine; 1-Methyl-4-(2-aminoethyl)imidazole; Ntau-Methylhistamine	Histidine metabolism
109.0528	C00072	M-HCOONa+H[1+]	0.0008	Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C	Prostaglandin formation from arachidonate$Purine metabolism$D4&E4-neuroprostanes formation$Linoleate metabolism$Tyrosine metabolism$Ascorbate (Vitamin C) and Aldarate Metabolism$Porphyrin metabolism
109.0528	C02670	M-HCOONa+H[1+]	0.0008	D-Glucuronolactone; Glucurone; Glucofuranurono-6,3-lactone; D-Glucurono-3,6-lactone; D-Glucurone	
109.0528	CE5541	M-C3H4O2+H[1+]	0.0006	adrenochrome o-semiquinone	Tyrosine metabolism
109.0528	glac	M-HCOONa+H[1+]	0.0008	D-glucurono-6,3-lactone	Ascorbate (Vitamin C) and Aldarate Metabolism
110.0366	C00090	M[1+]	-0.0002	Catechol; 1,2-Benzenediol; o-Benzenediol; 1,2-Dihydroxybenzene; Brenzcatechin; Pyrocatechol	
110.0366	C00530	M[1+]	-0.0002	p-Benzenediol; Hydroquinone; 1,4-Benzenediol; 1,4-Dihydroxybenzene; Benzene-1,4-diol; Quinol; 4-Hydroxyphenol	
110.0367	C00090	M[1+]	-0.0001	Catechol; 1,2-Benzenediol; o-Benzenediol; 1,2-Dihydroxybenzene; Brenzcatechin; Pyrocatechol	
110.0367	C00530	M[1+]	-0.0001	p-Benzenediol; Hydroquinone; 1,4-Benzenediol; 1,4-Dihydroxybenzene; Benzene-1,4-diol; Quinol; 4-Hydroxyphenol	
111.0249	C00472	M(Cl37)+H[1+]	-0.0007	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone	
111.0249	C00472	M(S34)+H[1+]	0.0007	p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone	
111.0249	C00575	M(C13)+3H[3+]	-0.0009	3',5'-Cyclic AMP; Cyclic adenylic acid; Cyclic AMP; Adenosine 3',5'-phosphate; cAMP	Purine metabolism
111.0249	C05584	M+H+Na[2+]	0.0002	3-Methoxy-4-hydroxymandelate; Vanillylmandelic acid	Tyrosine metabolism
111.0681	C00198	M-HCOONa+H[1+]	0.0005	D-Glucono-1,5-lactone; Gluconic lactone; Gluconic acid lactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Gluconolactone; Gluconolactone	Pentose phosphate pathway
111.0681	C01040	M-HCOONa+H[1+]	0.0005	L-Gulono-1,4-lactone; L-Gulono-gamma-lactone; gamma-Gulonolactone; L-Gulonic acid gamma-lactone; L-Gulonolactone	Ascorbate (Vitamin C) and Aldarate Metabolism
111.0681	C05394	M-HCOONa+H[1+]	0.0005	3-Keto-beta-D-galactose	Galactose metabolism$Sialic acid metabolism
111.1044	C01181	M-H4O2+H[1+]	0.0002	4-Trimethylammoniobutanoate	Lysine metabolism
111.1044	C01996	M-H4O2+H[1+]	0.0002	Acetylcholine; O-Acetylcholine	Glycerophospholipid metabolism
112.016	C01888	M+K[1+]	0.0004	Aminoacetone; 1-Amino-2-propanone	Glycine, serine, alanine and threonine metabolism
112.016	C02229	M+K[1+]	0.0005	3-Aminopropanal	
112.016	C05665	M+K[1+]	0.0004	beta-Aminopropion aldehyde	Beta-Alanine metabolism$Histidine metabolism
112.0522	C04221	M[1+]	-0.0002	trans-1,2-Dihydrobenzene-1,2-diol	
112.0523	C04221	M[1+]	-0.0001	trans-1,2-Dihydrobenzene-1,2-diol	
112.0524	C04221	M[1+]	0.0	trans-1,2-Dihydrobenzene-1,2-diol	
112.0525	C04221	M[1+]	0.0001	trans-1,2-Dihydrobenzene-1,2-diol	
112.0526	C04221	M[1+]	0.0002	trans-1,2-Dihydrobenzene-1,2-diol	
112.053	C00140	M(C13)+2H[2+]	-0.0009	N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc	Galactose metabolism$Sialic acid metabolism$Hyaluronan Metabolism$N-Glycan Degradation$Aminosugars metabolism$Heparan sulfate degradation$Keratan sulfate degradation
112.053	C00645	M(C13)+2H[2+]	-0.0009	N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose	Aminosugars metabolism$Sialic acid metabolism
